run	V(vo)
1.330000000000000e+02	5.086452e+00
1.340000000000000e+02	4.694209e+00
1.350000000000000e+02	4.736743e+00
1.360000000000000e+02	5.147351e+00
1.370000000000000e+02	5.150818e+00
1.380000000000000e+02	5.180948e+00
1.390000000000000e+02	5.234054e+00
1.400000000000000e+02	5.131416e+00
1.410000000000000e+02	5.076421e+00
1.420000000000000e+02	5.328362e+00
1.430000000000000e+02	5.068623e+00
1.440000000000000e+02	5.013055e+00
1.450000000000000e+02	5.045931e+00
1.460000000000000e+02	5.046391e+00
1.470000000000000e+02	5.317741e+00
1.480000000000000e+02	5.257785e+00
1.490000000000000e+02	4.997769e+00
1.500000000000000e+02	4.800828e+00
1.510000000000000e+02	5.029056e+00
1.520000000000000e+02	4.810469e+00
1.530000000000000e+02	5.089468e+00
1.540000000000000e+02	4.742614e+00
1.550000000000000e+02	5.248032e+00
1.560000000000000e+02	5.255975e+00
1.570000000000000e+02	4.981937e+00
1.580000000000000e+02	5.134151e+00
1.590000000000000e+02	4.584092e+00
1.600000000000000e+02	4.953200e+00
1.610000000000000e+02	5.108438e+00
1.620000000000000e+02	5.286330e+00
1.630000000000000e+02	4.861461e+00
1.640000000000000e+02	5.172345e+00
1.650000000000000e+02	4.771549e+00
1.660000000000000e+02	4.741467e+00
1.670000000000000e+02	5.165895e+00
1.680000000000000e+02	5.332509e+00
1.690000000000000e+02	5.209804e+00
1.700000000000000e+02	4.763604e+00
1.710000000000000e+02	4.614428e+00
1.720000000000000e+02	4.806417e+00
1.730000000000000e+02	4.759935e+00
1.740000000000000e+02	4.993876e+00
1.750000000000000e+02	4.899354e+00
1.760000000000000e+02	4.751983e+00
1.770000000000000e+02	4.681574e+00
1.780000000000000e+02	5.279099e+00
1.790000000000000e+02	5.031250e+00
1.800000000000000e+02	5.037534e+00
1.810000000000000e+02	4.955135e+00
1.820000000000000e+02	5.088097e+00
1.830000000000000e+02	4.984097e+00
1.840000000000000e+02	4.956733e+00
1.850000000000000e+02	4.967836e+00
1.860000000000000e+02	5.063409e+00
1.870000000000000e+02	4.919500e+00
1.880000000000000e+02	5.125212e+00
1.890000000000000e+02	5.373312e+00
1.900000000000000e+02	4.703756e+00
1.910000000000000e+02	5.250116e+00
1.920000000000000e+02	5.176071e+00
1.930000000000000e+02	4.714764e+00
1.940000000000000e+02	4.741149e+00
1.950000000000000e+02	4.743783e+00
1.960000000000000e+02	5.166471e+00
1.970000000000000e+02	4.720944e+00
1.980000000000000e+02	4.864441e+00
1.990000000000000e+02	4.970225e+00
2.000000000000000e+02	5.187651e+00
2.010000000000000e+02	4.894506e+00
2.020000000000000e+02	4.710343e+00
2.030000000000000e+02	4.948613e+00
2.040000000000000e+02	5.015154e+00
2.050000000000000e+02	5.170995e+00
2.060000000000000e+02	5.101756e+00
2.070000000000000e+02	5.045294e+00
2.080000000000000e+02	4.968536e+00
2.090000000000000e+02	4.691382e+00
2.100000000000000e+02	5.117755e+00
2.110000000000000e+02	5.000687e+00
2.120000000000000e+02	4.864648e+00
2.130000000000000e+02	4.816641e+00
2.140000000000000e+02	5.014076e+00
2.150000000000000e+02	4.900451e+00
2.160000000000000e+02	5.228523e+00
2.170000000000000e+02	5.029804e+00
2.180000000000000e+02	5.288702e+00
2.190000000000000e+02	5.199063e+00
2.200000000000000e+02	4.992197e+00
2.210000000000000e+02	5.240876e+00
2.220000000000000e+02	5.115101e+00
2.230000000000000e+02	4.856542e+00
2.240000000000000e+02	5.127414e+00
2.250000000000000e+02	4.807337e+00
2.260000000000000e+02	4.754004e+00
2.270000000000000e+02	5.251753e+00
2.280000000000000e+02	4.952964e+00
2.290000000000000e+02	5.277931e+00
2.300000000000000e+02	4.960143e+00
2.310000000000000e+02	5.166373e+00
2.320000000000000e+02	4.780482e+00
2.330000000000000e+02	5.103441e+00
2.340000000000000e+02	5.231793e+00
2.350000000000000e+02	4.573448e+00
2.360000000000000e+02	4.860730e+00
2.370000000000000e+02	5.418865e+00
